,cluster,count,total_paid_median,total_paid_mean,total_paid_std,total_claims_median,total_claims_mean,total_claims_std,paid_per_claim_median,paid_per_claim_mean,paid_per_claim_std,paid_per_beneficiary_median,paid_per_beneficiary_mean,paid_per_beneficiary_std,n_unique_hcpcs_median,n_unique_hcpcs_mean,n_unique_hcpcs_std,n_servicing_npis_median,n_servicing_npis_mean,n_servicing_npis_std,n_years_active_median,n_years_active_mean,n_years_active_std,n_months_active_median,n_months_active_mean,n_months_active_std
0,-1,106104,85906.425,2085230.66723281,36470329.1116288,2448.5,33705.40107818744,461636.97754316294,37.26043292779898,76.94043299980763,374.6219541089055,48.70459543769678,194.45353212973282,770.0144701110228,5.0,11.219558169343285,26.40277094209025,1.0,5.676063107894142,34.93864594640958,5.0,4.386639523486391,2.275313090778572,33.0,38.8063974967956,30.008911245318103
1,0,197,509498.93,2662402.1245685276,6273932.511841972,468.0,11174.659898477157,44394.365769344106,1123.6133833333333,1185.8665807515506,755.3771915643418,1382.3798837209304,1432.4753646683982,825.4069307561024,2.0,3.3401015228426396,7.441682522464296,1.0,1.1522842639593909,1.3428409423058065,4.0,4.304568527918781,2.347084479237575,15.0,26.370558375634516,27.593990513184696
2,1,109,42386.99,109365.78201834863,163854.05671897234,619.0,1267.651376146789,2009.4032529314786,85.72947368421052,86.50865605604076,32.22830538197726,229.64091566265063,238.6435438160726,125.36463438710754,1.0,1.0458715596330275,0.2503819711929569,1.0,1.275229357798165,1.129335757188032,2.0,3.0,1.9340994650588013,13.0,21.009174311926607,21.177597970341377
3,2,186,497.695,71100.93419354838,503192.12152023567,78.0,6586.279569892473,64405.20468247649,6.203235294117647,16.70160582394284,33.98074395307294,7.6258474955277284,28.26855250389079,88.31232478670508,1.0,5.462365591397849,18.47690107384479,1.0,2.086021505376344,11.192329336555225,1.0,1.6290322580645162,1.233328227955846,2.0,6.258064516129032,12.253540669388432
4,3,432,0.0,310676.7323842593,2981171.1098747407,142.5,8084.099537037037,65284.92398464966,0.0,23.865400890596767,121.76523046783589,0.0,76.93390405725283,555.8420434330036,2.0,4.203703703703703,8.075639239576129,1.0,1.349537037037037,3.0790889315310697,1.0,2.2847222222222223,1.8341812354102354,4.0,12.993055555555555,20.476628019531756
5,4,241,5600.0,30879.481286307055,57659.643319145594,145.0,676.2448132780083,1254.9564045482764,41.9341094575132,44.686586408770864,21.57446320334395,42.45048701298701,47.383849323789455,28.282668007260412,2.0,1.8755186721991701,0.8521188301472771,1.0,1.062240663900415,0.9833327472628733,2.0,2.87551867219917,1.7538832631311443,7.0,15.838174273858922,17.52934311336762
6,5,104,633524.1199999999,4704476.843942308,14898439.738984033,4346.5,32708.846153846152,116160.52576673059,123.59069911708696,137.62442165295292,83.5450496307697,1474.7826618259037,1854.5898583665414,1792.6724322139128,1.0,1.5673076923076923,1.9145047932651924,1.0,1.8942307692307692,7.440271251489627,3.0,3.3846153846153846,2.2046186835721024,24.5,30.923076923076923,28.181000384543434
7,6,211,14161.100000000002,67258.90654028436,169628.4980736324,650.0,2532.260663507109,4792.180501143554,22.11727863525589,25.39377425670033,13.502688732787016,44.96715686274509,50.1190436777546,28.39529946083149,1.0,1.7345971563981042,1.2014622851586105,1.0,1.3601895734597156,1.0748767203222727,3.0,3.734597156398104,2.289871529727934,16.0,27.725118483412324,27.98877809749217
8,7,1025,0.0,606294.2707219513,3968431.0494439243,156.0,20874.148292682927,326941.3789564263,0.0,40.24551920777163,126.63824425796945,0.0,143.59122700546067,507.97772540139886,2.0,5.055609756097561,19.72134566523199,1.0,1.5697560975609757,8.090748866799151,1.0,2.4234146341463414,1.9715352442987677,4.0,14.895609756097562,22.74570336838501
9,8,512,0.0,799103.2948242187,4816140.785697107,190.0,17841.826171875,195226.83260596677,0.0,60.65859459364694,266.62336390230246,0.0,199.96488011831997,772.2613810027655,2.0,5.873046875,17.902691313210855,1.0,1.193359375,1.707504686423587,2.0,2.583984375,2.0447004057480265,5.0,16.990234375,24.584729130150823
10,9,692,0.0,539430.8238728323,4141958.537030515,159.0,6637.695086705202,38855.841158680014,0.0,42.03107486598166,197.15406799616937,0.0,141.9027473297207,566.6910588847701,2.0,3.959537572254335,8.522623935378235,1.0,1.4349710982658959,4.519146228329748,1.0,2.197976878612717,1.8036292274751766,4.0,13.03757225433526,20.85033925537509
11,10,169,108558.45999999999,840793.5031360945,2104887.5585940448,884.0,5817.047337278106,13912.729221065803,100.07916645744415,134.89086854952708,160.36910762644877,1116.9524574540505,1238.7796909907026,1508.5124179028464,1.0,1.532544378698225,1.4476397167482322,1.0,0.9940828402366864,1.2886733738714498,2.0,2.798816568047337,1.8599151339343816,8.0,18.39644970414201,20.494836438813195
12,11,807,0.0,431359.7838785626,2100572.254599363,173.0,17508.392812887236,200863.62320299257,0.0,40.891853185821475,118.388290526667,0.0,152.64097248033346,458.96022424988524,2.0,5.660470879801735,20.879096870563018,1.0,1.342007434944238,3.5775017184971536,2.0,2.4250309789343247,1.9373610169395907,4.0,15.36555142503098,22.65243818541276
13,12,1011,0.0,429934.00999010884,2115172.5036454094,198.0,8291.789317507419,47165.97863952234,0.0,84.09430864997503,1019.375517609434,0.0,180.87158162427124,1442.654960662532,2.0,4.711177052423343,9.7671739429068,1.0,1.562809099901088,6.1185290426457,1.0,2.4856577645895155,2.027177239899597,4.0,16.066271018793273,23.591711916061517
14,13,135,431.63,6298.75311111111,44299.56368045766,95.0,350.1777777777778,1492.0210217531233,4.049,10.307041551797202,14.552611137933855,4.341176470588236,11.479605900942593,16.345473952336793,1.0,2.066666666666667,2.5893006028540393,1.0,0.9777777777777777,0.19187475185133127,2.0,2.6592592592592594,1.5842648041272838,6.0,10.88888888888889,13.542452139485258
15,14,312,1053.225,3405.4362820512824,7828.231347148275,56.0,166.33653846153845,340.0378438531332,18.565381355932203,22.955607599167525,18.711243069967068,46.73487936154417,55.95633074208576,44.39667974370568,1.0,1.1217948717948718,0.472292741497649,1.0,1.0416666666666667,0.3606814438887896,1.0,1.669871794871795,1.1934936083435417,2.0,3.7948717948717947,6.326301905809295
16,15,871,0.0,878504.9144661308,7942482.398511818,147.0,20539.277841561423,188538.59415251767,0.0,53.77891059556047,375.86264084054045,0.0,129.13986584526413,659.7341846082708,2.0,7.2560275545350175,34.150678723928785,1.0,1.6555683122847302,9.659767880750987,1.0,2.3352468427095294,1.8846347619963477,4.0,14.336394948335247,22.506766192857032
17,16,121,416.78,2589.334297520661,7053.157322196189,25.0,103.92561983471074,266.9903920021986,21.876963350785342,25.39323007131013,20.10520171963152,22.166666666666668,26.52421536336522,21.84798420787925,1.0,1.7272727272727273,1.5652475842498519,1.0,1.024793388429752,0.6514446755398781,1.0,1.6446280991735538,1.1962406678997286,1.0,3.56198347107438,6.5661918973677444
18,17,760,2444.8500000000004,58724.93181578948,1375096.072868957,65.0,416.7907894736842,5521.6545137143075,42.286928571428575,47.21997512004399,34.24557426435117,47.6470719632939,54.156596924595426,52.83253858137919,1.0,1.3078947368421052,1.2136426032204524,1.0,1.0868421052631578,0.4927249672484373,2.0,2.2092105263157893,1.5920320068467626,4.0,9.214473684210526,13.192206386368643
19,18,347,93701.48000000001,1501056.9712968299,6593943.186023814,1469.0,10602.331412103746,35883.53501343434,74.04752173913043,150.70644304313893,390.68914477055887,297.8753125,680.3061234636267,1206.3613502624903,1.0,1.5389048991354466,1.083540524837147,1.0,1.1469740634005763,1.748247944385431,2.0,2.9452449567723344,1.992732209674931,13.0,23.59077809798271,23.58785634036834
20,19,230,5535.3150000000005,103415.70165217391,385738.4659849244,99.0,1311.7826086956522,5002.301758893849,64.81589918256131,67.4634799885507,38.45370374549164,87.80597988583855,102.35386923133184,75.90638870316958,1.0,1.191304347826087,0.5512297038838683,1.0,1.5260869565217392,4.157039317543446,2.0,2.491304347826087,1.928280235544936,5.0,15.382608695652173,22.191143679265604
21,20,217,1341079.2200000002,3486999.530322581,5277730.619278578,2715.0,10690.414746543778,22912.617613675706,321.8888848129127,915.6927110504777,1638.7678042343764,2880.5117460317465,3313.564076053155,1943.2210636140842,1.0,1.294930875576037,0.9886495277489469,1.0,1.1981566820276497,0.6543276966446924,3.0,3.5622119815668203,2.1873056932208876,24.0,29.391705069124423,25.60993957333071
