,date,actual,counterfactual,pointwise_impact,cumulative_impact
0,2020-03-01,10327180044.76,10840935235.840378,-513755191.0803776,-513755191.0803776
1,2020-04-01,8541553016.11,9481809028.827736,-940256012.7177362,-1454011203.7981138
2,2020-05-01,9276309404.63,9470883213.41653,-194573808.78653145,-1648585012.5846453
3,2020-06-01,10386347586.83,8809752894.345152,1576594692.484848,-71990320.09979725
4,2020-07-01,11043497587.59,9445317076.407677,1598180511.1823235,1526190191.0825262
5,2020-08-01,10945591115.5,9437061707.866306,1508529407.6336937,3034719598.71622
6,2020-09-01,11345841778.78,8667746131.5724,2678095647.2076015,5712815245.923821
7,2020-10-01,12256768912.53,9429077262.73866,2827691649.79134,8540506895.715161
8,2020-11-01,11824939391.28,8034541032.767253,3790398358.512748,12330905254.22791
9,2020-12-01,12337430898.16,7833002076.73057,4504428821.42943,16835334075.65734
10,2021-01-01,12594444977.41,9246501832.548094,3347943144.861906,20183277220.519245
11,2021-02-01,11715579066.73,8337349720.259366,3378229346.4706335,23561506566.98988
12,2021-03-01,14136311330.65,7738844115.047642,6397467215.602358,29958973782.59224
13,2021-04-01,13565862878.51,6379717908.035001,7186144970.474999,37145118753.06724
14,2021-05-01,13208518113.69,6368792092.623798,6839726021.066202,43984844774.13344
15,2021-06-01,13415399746.47,5707661773.55242,7707737972.91758,51692582747.05102
16,2021-07-01,13562082770.47,6343225955.614945,7218856814.855054,58911439561.906075
17,2021-08-01,14202719417.5,6334970587.073577,7867748830.426423,66779188392.3325
18,2021-09-01,14024666614.74,5565655010.779671,8459011603.960329,75238199996.29283
19,2021-10-01,14165659978.04,6326986141.945932,7838673836.094069,83076873832.3869
20,2021-11-01,13904172445.35,4932449911.9745245,8971722533.375477,92048596365.76237
21,2021-12-01,14062529938.43,4730910955.937841,9331618982.492159,101380215348.25453
22,2022-01-01,14412456539.88,6144410711.755365,8268045828.124634,109648261176.37917
23,2022-02-01,13250746218.5,5235258599.466638,8015487619.033362,117663748795.41252
24,2022-03-01,15695994584.59,4636752994.254914,11059241590.335087,128722990385.7476
25,2022-04-01,14609179171.9,3277626787.2422733,11331552384.657726,140054542770.40533
26,2022-05-01,14956401093.08,3266700971.83107,11689700121.24893,151744242891.65427
27,2022-06-01,14650484215.68,2605570652.759691,12044913562.92031,163789156454.5746
28,2022-07-01,14067993433.62,3241134834.8222165,10826858598.797785,174616015053.37238
29,2022-08-01,15825029409.54,3232879466.2808485,12592149943.259151,187208164996.63153
30,2022-09-01,15268172192.71,2463563889.9869423,12804608302.723057,200012773299.35458
31,2022-10-01,15854981611.14,3224895021.153204,12630086589.986795,212642859889.34137
32,2022-11-01,15675981809.01,1830358791.1817966,13845623017.828203,226488482907.1696
33,2022-12-01,15297538611.3,1628819835.145113,13668718776.154886,240157201683.32446
34,2023-01-01,16594310221.53,3042319590.962636,13551990630.567364,253709192313.8918
35,2023-02-01,15394753399.57,2133167478.6739087,13261585920.896091,266970778234.7879
36,2023-03-01,17668427237.5,1534661873.4621851,16133765364.037815,283104543598.82574
37,2023-04-01,16091892914.07,175535666.44954348,15916357247.620457,299020900846.4462
38,2023-05-01,17280277362.92,164609851.0383401,17115667511.881659,316136568358.3279
39,2023-06-01,16029192012.87,-496520468.03303933,16525712480.90304,332662280839.2309
40,2023-07-01,15725897305.96,139043714.02948618,15586853591.930513,348249134431.16144
41,2023-08-01,17348504365.58,130788345.48811746,17217716020.091885,365466850451.2533
42,2023-09-01,16361790144.5,-638527230.8057884,17000317375.305788,382467167826.5591
43,2023-10-01,17484140655.95,122803900.36047328,17361336755.589527,399828504582.1486
44,2023-11-01,16663518408.74,-1271732329.610935,17935250738.350933,417763755320.4996
45,2023-12-01,16152279164.09,-1473271285.6476183,17625550449.737617,435389305770.2372
46,2024-01-01,17783239324.27,-59771529.83009529,17843010854.100098,453232316624.3373
47,2024-02-01,17169976799.3,-968923642.1188228,18138900441.418823,471371217065.7561
48,2024-03-01,17501161887.45,-1567429247.3305457,19068591134.78055,490439808200.5366
49,2024-04-01,17396698624.1,-2926555454.3431873,20323254078.443184,510763062278.9798
50,2024-05-01,17580257320.49,-2937481269.754391,20517738590.244392,531280800869.2242
51,2024-06-01,15770419278.26,-3598611588.82577,19369030867.08577,550649831736.3099
52,2024-07-01,16423060106.69,-2963047406.763244,19386107513.453243,570035939249.7632
53,2024-08-01,16347006139.25,-2971302775.304612,19318308914.55461,589354248164.3177
54,2024-09-01,15626350800.43,-3740618351.5985184,19366969152.02852,608721217316.3463
55,2024-10-01,16310402111.53,-2979287220.432256,19289689331.962257,628010906648.3086
56,2024-11-01,12874830358.75,-4373823450.403665,17248653809.153664,645259560457.4623
57,2024-12-01,4199364318.95,-4575362406.440348,8774726725.390347,654034287182.8527
