,variable,coefficient,std_error,t_statistic,p_value
0,const,10.836330086286011,0.008092318506348152,1339.088430316389,0.0
1,post_covid,0.032170974641516054,0.0075982852585975294,4.233978265703344,2.2959314353840086e-05
2,high_volume,0.7430291785557629,0.01211840146560977,61.31412469411661,0.0
3,post_x_highvol,0.07425999360557518,0.01029704040411393,7.211780345729869,5.522500840401805e-13
4,month_num,0.007495176533078641,0.00011387188220262273,65.8211350168234,0.0
5,month_2,-0.07321768702418659,0.0011853871546218958,-61.76689762387455,0.0
6,month_3,-0.011298953601233027,0.0015010457574600176,-7.527387852820996,5.1765435020977646e-14
7,month_4,-0.08827565840263119,0.001695184413655147,-52.07436883653957,0.0
8,month_5,-0.06500970971286223,0.0017174293429708368,-37.85291661571788,0.0
9,month_6,-0.11149936139502142,0.001954447865424914,-57.04903331907526,0.0
10,month_7,-0.10394918494131677,0.0020503697102324183,-50.697776319341784,0.0
11,month_8,-0.05349384087754087,0.0019388134847666608,-27.591019609593303,1.4260921876810756e-167
12,month_9,-0.08748828112313531,0.0016936587967463722,-51.65637924899982,0.0
13,month_10,-0.02315457705406524,0.0016880474026051587,-13.716781305033763,8.05632015049024e-43
14,month_11,-0.10411837485504932,0.0016687863786984582,-62.39167348444843,0.0
15,month_12,-0.22561154698557828,0.001849995125817687,-121.95250886721084,0.0
