,billing_npi,n_changepoints,nonzero_months,total_spending
0,1417262056,2,84,7177816544.46
1,1699703827,1,82,6778483867.349999
2,1376609297,1,84,5571605313.0
3,1699725143,2,84,3093063112.9
4,1922467554,2,84,3025874966.6899996
5,1710176151,2,84,2683634591.67
6,1629436241,3,78,2596064454.9799995
7,1982757688,2,84,2254946211.7
8,1538649983,2,78,2105798329.4200003
9,1528263910,3,82,1728502977.1899998
10,1962650622,1,84,1682424022.3700001
11,1720151046,2,84,1476339972.58
12,1356709976,4,78,1452536495.0400002
13,1396051694,1,84,1442353043.5400002
14,1538144910,2,84,1436181704.91
15,1447261540,2,83,1398902370.0399997
16,1750504064,4,82,1349935087.7199998
17,1417099789,2,84,1344222550.12
18,1073055208,2,84,1281885231.52
19,1376554592,1,84,1225040114.1899998
20,1518096411,3,82,1143418621.17
21,1700090834,1,83,1125938944.49
22,1780816991,2,84,1107509967.21
23,1275657553,2,84,1101806880.0
24,1134250475,3,82,1097550708.19
25,1376097303,2,84,1081483692.7600002
26,1578778726,4,84,1080566062.71
27,1083783013,2,84,1077342251.7
28,1326168840,1,84,1073667311.3399999
29,1659402303,2,76,1068150354.8599999
30,1184703415,2,83,1061917965.84
31,1720145378,1,84,1061171577.1299999
32,1194934471,1,83,1053552904.8399999
33,1396049987,2,63,1042893317.1100001
34,1518098359,2,48,1037216238.4
35,1518049485,2,84,1025590031.98
36,1932341898,1,84,996801121.5400001
37,1952476988,1,84,961141901.37
38,1457410904,2,84,953479646.08
39,1093834020,2,84,910633453.06
40,1043386659,3,82,903144307.96
41,1134260078,2,84,894406192.5200001
42,1124304621,2,84,887501813.41
43,1245354000,3,82,881889979.78
44,1871821710,1,84,865877079.43
45,1679525919,1,84,863549395.76
46,1053321869,1,84,858202022.0400001
47,1033571658,2,84,848211431.1000001
48,1801060363,1,84,842517560.21
49,1730438706,2,84,840475278.0400001
50,1104963347,4,83,806659263.46
51,1124494059,3,65,780976224.27
52,1134152986,2,84,777537649.43
53,1770022691,2,84,775248390.5799999
54,1346218294,2,84,768481072.4100001
55,1457562811,1,84,767950561.97
56,1184166027,2,84,759749435.7499999
57,1528338282,1,84,759480229.5
58,1447393319,2,84,745668883.76
59,1528315397,1,84,740001913.97
60,1821275801,1,84,737824812.5599998
61,1992920417,2,48,733082656.72
62,1770538001,3,78,728111212.4699999
63,1457601965,2,73,723937836.7999998
64,1063497451,2,84,717466640.82
65,1518911338,2,84,716407787.9000001
66,1063812105,2,84,714231712.5400001
67,1407897309,1,84,708859553.08
68,1104253558,3,84,708682479.2800001
69,1952346876,3,65,708513856.49
70,1932106010,2,84,703738514.8
71,1730244294,2,84,696610298.0999999
72,1649363342,1,84,686260064.07
73,1265926687,3,77,680727558.6899999
74,1366479099,3,84,668499553.82
75,1194165985,2,84,667442680.69
76,1437175734,3,84,658485314.25
77,1730491945,1,84,643184712.3
78,1225255375,2,82,642451488.14
79,1558672279,1,84,641511859.9200002
80,1932145778,2,84,637741416.6400001
81,1447488721,1,84,636580818.96
82,1326111337,1,84,631608444.8500001
83,1801027404,1,84,624768225.25
84,1134277494,3,84,620067105.66
85,1932184322,2,84,617017961.77
86,1306875695,3,83,615308759.5799999
87,1518259035,1,84,609810517.8199998
88,1932721834,3,65,606657803.13
89,1861520272,3,84,600905872.13
90,1245414721,2,84,598860245.02
91,1508199258,2,82,598198692.3
92,1053641498,2,84,590623456.31
93,1003953803,2,84,588362360.46
94,1497933162,2,84,579294569.0600001
95,1508025370,3,84,576959418.1100001
96,1700828852,2,84,574131419.67
97,1891728697,2,84,571724616.59
98,1720121106,2,84,560383490.8599999
99,1083765689,1,84,559483344.4800001
100,1861506560,1,84,556646906.7199999
101,1760480503,2,84,555705726.24
102,1275752065,1,84,554866273.9999999
103,1619969458,2,84,546516638.84
104,1780045542,3,84,545383072.11
105,1184841926,2,84,541945209.9799999
106,1538371778,2,84,540711656.62
107,1427138726,2,83,536975607.71
108,1649462169,1,84,536743822.0
109,1558781559,2,84,533674569.64
110,1952591851,2,84,533305232.59999996
111,1275665457,2,84,529965639.35
112,1487721155,1,84,528001344.67
113,1881708899,2,84,522623914.17999995
114,1841302445,1,84,521690136.61999995
115,1932541729,2,75,520349749.07
116,1336117621,1,84,518099159.43
117,1639172810,3,84,509260010.31000006
118,1154317527,1,84,506717191.01
119,1326170796,1,84,504367806.8399999
120,1164535274,2,84,503987183.91999996
121,1659769446,2,84,501081513.7900001
122,1780630608,3,84,500546324.37
123,1639473580,1,84,497092595.69
124,1447886288,1,84,493553307.08
125,1184779332,1,84,493376371.8500001
126,1831151455,4,84,491010298.61
127,1073730347,3,80,490725902.51
128,1063436723,3,83,481636325.67
129,1689712481,2,84,477736242.10000014
130,1568658821,1,83,473443035.87000006
131,1528281532,4,70,465361804.0899999
132,1689747552,3,84,463287047.17
133,1275849283,1,84,462989708.40999997
134,1013377431,2,84,461002867.33
135,1114070752,1,84,459715463.30999994
136,1194832477,1,84,454946329.24
137,1023140498,4,70,447546116.82
138,1942339825,4,70,443959619.77
139,1467832584,1,84,442602790.51
140,1023049236,3,84,437796181.46999997
141,1295842508,2,84,437462889.24
142,1982735643,5,70,435792281.77000004
143,1801276738,2,84,435598227.46
144,1477921609,2,84,433777650.85
145,1881630614,2,84,429837133.54
146,1740556844,1,84,427172837.17999995
147,1609858729,2,84,424768920.47999996
148,1316943566,2,84,422725253.93000007
149,1962502229,2,84,422304653.87
150,1043348808,3,59,419580329.27
151,1417002007,1,84,419389189.81999993
152,1922463751,1,84,416783154.95
153,1205378379,2,84,412840826.71
154,1730451071,2,78,407155351.56
155,1679524961,1,84,406511580.96
156,1295261683,2,84,401151949.83000004
157,1255333597,3,83,400057183.42
158,1962432682,1,84,399821248.6499999
159,1063525152,2,84,398402839.29
160,1437368891,3,84,397151976.52
161,1841739752,2,84,395462114.75
162,1619334323,3,66,392677097.05999994
163,1750769345,1,84,391512861.78
164,1780921387,2,84,388604053.3599999
165,1053688572,2,84,387661175.62
166,1548212988,1,84,386699974.40000004
167,1114931391,2,84,381851367.31999993
168,1588659528,1,84,380766370.12
169,1215027966,3,84,380157757.56000006
170,1841476009,2,84,378766712.81999993
171,1144349150,1,84,375843412.19000006
172,1215934005,2,84,375327737.15999997
173,1487655064,3,84,374467033.51
174,1124231782,2,84,374255588.68
175,1982747192,2,84,373629555.3500001
176,1285641514,1,84,370910465.95
177,1891227203,2,84,369966268.09
178,1265483457,2,84,368389281.5900001
179,1346285657,1,84,368317925.64000005
180,1083715460,1,84,363841502.9200001
181,1083632897,4,83,363787662.74
182,1396767430,2,84,363759740.6999999
183,1093826596,1,84,363489576.56
184,1336560390,2,84,363330596.57
185,1215998323,1,84,362912756.86
186,1104176676,2,84,362479854.44000006
187,1487602736,1,84,360316532.96
188,1871651588,2,84,356441972.32
189,1821456526,1,84,355702412.8500001
190,1568442309,1,84,354034396.34
191,1487603585,2,84,352571667.32000005
192,1609099910,4,70,352210923.5
193,1669878567,2,84,352134469.0899999
194,1114058872,4,70,350130933.04
195,1588157424,3,67,350102592.29
196,1790826600,1,84,349263532.75
197,1902023526,1,84,349237896.32
198,1649301789,3,83,348960028.71
199,1417027558,1,84,348432638.54999995
200,1417349622,2,78,347298880.67
201,1215913470,2,84,345535537.66
202,1023199965,2,84,342635897.57
203,1417941774,2,84,338970874.30999994
204,1194028969,2,83,337944535.20000005
205,1689744856,2,84,336381755.53000003
206,1497014252,1,84,335149379.83
207,1134144801,4,84,334910515.15000004
208,1386773273,4,70,334275022.02
209,1073854451,3,82,333873624.61
210,1457456279,2,84,333032793.87
211,1770700221,4,82,332176357.08
212,1164572616,2,84,331813482.83000004
213,1235677162,3,83,331685847.39000005
214,1447641493,3,78,330988084.83
215,1710087127,2,84,330793079.99
216,1619363678,1,84,330224737.6699999
217,1295869428,4,70,326663146.06
218,1245430438,3,82,326016792.19
219,1437541133,1,84,324861584.25999993
220,1992980387,2,84,324296314.6000001
221,1669462420,1,84,322401873.4
222,1750823381,2,84,320007764.49
223,1992781470,1,84,318861367.82000005
224,1003878539,3,84,317769537.22
225,1811062763,1,84,317626963.90999997
226,1770795536,2,83,317166187.16
227,1447382817,4,70,316561274.43
228,1770696643,2,84,316278903.31
229,1437156635,2,84,315865302.2699999
230,1417406679,1,84,309887048.50000006
231,1245364595,4,70,309701914.58
232,1245239540,1,84,309522643.48999995
233,1730421553,1,84,308959225.26
234,1558756296,4,74,308393772.84999996
235,1174649644,1,84,306828528.07000005
236,1205965258,4,70,306218639.71
237,1629283197,3,84,305796831.15
238,1902811342,2,84,303978534.03999996
239,1619341716,1,84,303176085.0
240,1790835296,3,84,302447890.81
241,1700960580,1,84,302345323.22999996
242,1730278409,2,84,300656752.37999994
243,1255385399,2,84,299955611.68999994
244,1972809051,4,83,299874734.93999994
245,1891799227,2,84,299002604.18
246,1104981356,3,69,298943537.56
247,1851422661,4,70,298421390.0
248,1225468663,1,84,298393492.9799999
249,1538105366,2,84,298054860.64
250,1275197055,2,64,297879003.02000004
251,1700120888,3,63,295371494.01
252,1902921380,1,84,294234308.5900001
253,1932166980,2,84,293427653.4
254,1720471568,1,84,293400053.33
255,1164887808,1,84,290808661.46999997
256,1457379448,2,84,290632680.64
257,1295726032,1,84,289116238.95
258,1912919481,1,84,288158032.02000004
259,1356334577,2,84,288086730.68
260,1992910152,3,84,287340554.38
261,1215921457,1,84,286882029.59999996
262,1891765178,2,61,286651231.61
263,1700947298,2,83,285983083.81
264,1619224029,2,84,285833300.69
265,1730366824,2,84,285527371.94
266,1407855240,2,84,285062222.19
267,1891092649,2,84,284703394.21999997
268,1306388525,2,84,284456363.2
269,1639711294,2,84,283151941.18
270,1003039322,5,70,282079072.51
271,1518022763,2,84,281653043.34000003
272,1750368700,2,84,281437556.38
273,1679602502,4,70,280884596.78000003
274,1265802847,2,84,280807223.9
275,1952852113,3,81,280570632.09999996
276,1982869459,2,84,280435943.41999996
277,1932103413,1,84,278959195.28999996
278,1174689665,1,84,278662434.15
279,1194706655,2,84,278420282.62
280,1477643690,3,74,277277789.69
281,1790721538,1,84,276762744.6
282,1629407069,2,84,276545732.09
283,1386022101,3,83,276415290.1
284,1659315430,2,81,276252681.48
285,1750781076,2,84,275735217.45
286,1508089699,4,70,275000143.29999995
287,1174661078,1,83,274715743.78999996
288,1538668165,2,82,274420610.68
289,1528105558,1,83,273741644.28000003
290,1477807667,1,84,271781215.8
291,1184259913,1,84,271594336.32
292,1548202641,3,84,270281399.95
293,1154480069,1,84,270209401.03999996
294,1396048070,2,84,270125586.31
295,1447575204,3,84,269903559.57
296,1003847807,1,84,269654252.43
297,1124186747,3,75,267122655.54000002
298,1871713495,1,83,266391325.02999997
299,1740262880,2,84,265904923.85
300,1962564328,1,84,265469406.61
301,1184722779,1,84,264994583.82999998
302,1871543215,2,84,264820794.14000005
303,1386751162,2,84,264796677.91000003
304,1902809940,2,84,264262233.27
305,1700901725,2,84,264102389.60999998
306,1447510326,1,84,264007636.46999997
307,1720049190,2,83,263808587.70999998
308,1194743013,1,84,263765032.89999998
309,1295827780,1,84,262561068.16
310,1972954923,1,84,262441757.19
311,1750482022,4,84,262198153.46
312,1972047181,2,84,262161188.75000003
313,1467523746,2,83,261239884.38
314,1093777492,1,84,260808086.0
315,1326502865,3,65,260593398.10999998
316,1801270137,1,84,260215578.52999997
317,1316158983,2,84,260208797.52999997
318,1063431070,1,84,260024323.14
319,1982843124,3,78,260006276.1
320,1457788275,2,84,259128731.69
321,1528064409,2,84,255730619.38000003
322,1881622892,2,83,255698082.17000005
323,1912390931,2,84,255223068.46
324,1912914821,3,83,253656709.06000003
325,1366580706,4,56,253416240.26
326,1790717650,2,84,252584159.89
327,1174793996,1,84,252474520.65999997
328,1073576740,2,84,251457852.79999998
329,1790908002,5,70,249649772.07999998
330,1912903717,4,84,249150215.49
331,1134271661,3,84,248942412.29
332,1417486531,2,84,247924558.33
333,1366780850,2,78,247198154.94
334,1528126133,1,84,245882154.82
335,1336238237,2,84,245212710.88
336,1154788412,3,80,244854988.11
337,1740339381,5,82,244753415.92999998
338,1245765163,2,84,244570607.52
339,1689652166,1,84,244212833.76999998
340,1922090554,1,84,243224155.98
341,1437534559,2,68,243167425.75999996
342,1760491674,2,84,243114592.17999998
343,1912939703,3,84,242963810.95000002
344,1659435840,2,84,241430552.67000002
345,1649472853,1,84,241261306.70999998
346,1962083493,3,40,240850154.69
347,1104802354,1,84,240239258.79
348,1851333686,1,84,240209148.81
349,1548378235,2,84,239081014.10999998
350,1750053948,2,28,238967730.89000002
351,1801992631,1,84,238686702.33000004
352,1477582609,3,84,238591774.2
353,1033162987,1,84,238168727.17
354,1679606735,2,84,237170877.44
355,1588804405,2,84,237061792.86999997
356,1013374222,1,84,235663391.02999997
357,1649678350,2,84,234484853.36000004
358,1194144873,3,82,234141685.78999996
359,1467595793,2,84,233932013.26
360,1811997638,4,82,233148643.47
361,1134455942,2,83,231763646.77
362,1568407310,3,84,231531116.04000002
363,1720166259,3,83,230928305.37
364,1184827990,3,84,229900465.58999997
365,1912976408,2,84,229107211.02000004
366,1760618961,2,84,228545944.86
367,1043382302,2,84,227313342.2
368,1659601979,2,83,227192118.98
369,1164487542,1,84,227071353.69
370,1255360517,1,84,226974802.17000002
371,1528041811,3,84,226695571.54
372,1285758300,4,70,226031966.03
373,1053772905,2,84,225241766.71999997
374,1699896316,4,83,224864469.64000005
375,1043279011,1,84,224601483.9
376,1265529168,2,82,224454102.0
377,1447546007,1,84,224307101.57000005
378,1023175072,1,84,224149166.57000002
379,1578683694,2,83,222949564.42000002
380,1851346720,1,84,222763654.82999998
381,1558416701,1,84,222593125.34999996
382,1366419517,1,84,222293141.83
383,1366515488,2,84,221155052.55
384,1588656870,1,84,221143872.98
385,1053477075,1,84,220100848.46
386,1891770806,2,84,220037247.58999997
387,1417954165,1,84,219628282.77
388,1235188673,1,84,219576484.92000002
389,1467536276,4,84,219534926.72000003
390,1962728584,2,84,219390745.11
391,1578665048,2,84,218818427.28
392,1225546575,3,79,218299625.67000002
393,1003930256,4,70,218126934.60000002
394,1265819106,2,82,217946860.06000003
395,1679587679,1,84,217677572.21000004
396,1295752384,2,84,217070731.11
397,1902341050,3,80,217060278.35999998
398,1033289533,1,84,216984969.02000004
399,1396756938,3,82,216551322.61999997
400,1518373703,1,84,216341203.5
401,1689682932,1,84,216291929.57999995
402,1487632998,1,84,215335418.76
403,1255377149,2,84,214992042.21
404,1013919315,1,84,214909154.95000002
405,1790082410,2,84,214867089.28
406,1770538068,3,84,214273045.96
407,1962585638,3,84,214084111.18
408,1730466590,2,84,213774817.05
409,1376085100,1,84,213711242.44999996
410,1942694948,2,84,213687703.35999998
411,1992805022,1,84,213401878.95999998
412,1366430563,2,84,213090354.51999998
413,1497870943,3,70,212829451.96999997
414,1609812445,2,84,212275717.32999998
415,1043488034,2,84,212175915.83
416,1215028931,2,80,211489378.63
417,1932166386,3,84,211134089.71
418,1255365599,3,83,210426117.12999997
419,1952347791,1,84,209742563.95000002
420,1780621904,2,84,209657270.32
421,1386746592,1,84,209406546.67000002
422,1356379382,1,84,208943380.31000003
423,1588855100,2,84,208392820.19000003
424,1568910677,2,64,208345252.25999996
425,1760897755,1,84,208133530.84
426,1710006051,4,70,208022188.21
427,1467589911,2,44,207858505.69
428,1477628758,2,84,207509173.02
429,1952332801,1,84,207366640.09
430,1033370317,2,83,207324061.73
431,1265848675,2,82,206621411.68000004
432,1891832234,2,84,206109230.47
433,1669466561,3,84,205921863.75
434,1366436123,1,84,205685425.0
435,1063567691,1,84,205264788.43
436,1902999022,1,84,205149604.12000003
437,1730302829,4,70,204871239.76
438,1538292768,3,83,204755691.87
439,1053357905,2,84,204354682.66
440,1710924683,2,84,204323294.24
441,1730369760,3,38,203820195.87
442,1902863202,3,84,203693060.66
443,1790994952,1,84,203245562.64999998
444,1326288556,3,83,202913010.06999996
445,1225168933,1,84,202295022.46999997
446,1568540763,2,84,202196038.48999998
447,1609849074,4,84,202136402.43000004
448,1639138480,1,84,201288692.20000002
449,1356408082,2,84,201154275.69000003
450,1194711226,3,83,200964428.85
451,1205033289,1,84,200961048.24000004
452,1508072588,2,81,200572129.0
453,1265515639,1,84,200303782.98999998
454,1184612764,3,84,200025637.76000002
455,1396886297,1,84,199938874.58999997
456,1194062448,3,84,199858546.9
457,1952390239,1,84,199836981.81999996
458,1437458437,2,84,199636917.53
459,1720011810,2,84,199618075.41
460,1659330686,2,84,198849836.12000003
461,1942576905,5,78,198705710.48
462,1750827127,1,84,198264655.10999998
463,1346243375,2,84,198255360.07999998
464,1366543795,1,84,198238415.99000004
465,1447359997,1,84,197865657.18
466,1518903350,1,84,197582867.08999997
467,1629141213,3,84,197481598.91
468,1053821728,1,64,197189859.61
469,1699984724,1,84,196727809.71000004
470,1134632599,3,84,195928568.53
471,1346564127,3,78,195342935.93
472,1871647115,3,78,195090095.45
473,1174680557,0,84,195022003.92999998
474,1265820179,1,84,194417422.51
475,1104986017,2,83,194342716.42
476,1598793671,2,84,194182598.74
477,1548602378,2,83,194030722.94000003
478,1699782722,3,84,193810662.97
479,1942304126,2,84,193801439.98
480,1083810055,2,84,192742245.95
481,1669562328,2,84,192165526.72
482,1568512770,1,84,192142597.37
483,1396716858,2,84,192131540.33
484,1396822839,2,81,191804343.32000002
485,1205927928,1,84,191010017.45
486,1962461889,3,84,190650224.07000002
487,1780639971,2,84,190581941.35
488,1104982917,1,84,190494081.72999996
489,1245305416,3,83,189664281.46999997
490,1255868915,2,84,189660524.86
491,1104202761,1,84,189387729.76999998
492,1306182548,3,47,188981224.15
493,1306912282,1,84,188886317.42
494,1376526616,2,84,188329379.39999998
495,1467492421,2,84,188250923.20000002
496,1558410233,1,84,187996314.22
497,1003803032,1,84,187983111.72000003
498,1609807122,2,84,187762033.54
499,1073608998,3,83,187472847.15999997
500,1487608485,2,84,187394552.63
501,1174610075,3,83,187336349.01
502,1396750188,2,84,186856558.37999997
503,1437533627,3,83,186854718.62
504,1073599478,2,84,186689144.99999997
505,1184602518,2,84,186680358.32999998
506,1629282272,3,82,186664285.68
507,1043295934,2,84,186629798.54
508,1689639544,1,84,186018381.12
509,1093787095,1,84,185795247.73
510,1114924834,1,84,185493396.35
511,1619105244,3,84,185264697.48
512,1801920111,2,84,184771602.69
513,1427267806,3,83,184378247.98999998
514,1588611842,4,77,184364066.13
515,1275672057,2,83,184126063.82000002
516,1518094176,2,83,183015349.91000003
517,1225110497,2,84,183007871.65999997
518,1992092274,3,83,182856173.11999995
519,1740353861,3,82,182706936.77
520,1588712020,4,83,182456074.77999997
521,1831263110,1,84,182091632.09
522,1861447179,2,84,182029810.36999997
523,1720319726,1,83,181657233.86999997
524,1285621623,1,84,181382124.60999998
525,1609261478,2,84,180708141.26
526,1538471800,3,84,180238665.03
527,1275604977,3,81,180199793.14
528,1619047131,1,84,180186829.78000003
529,1073997680,2,84,179976482.33
530,1578554630,1,84,179830984.52999997
531,1861554438,2,84,179414718.83000004
532,1134452865,2,84,179414627.49999997
533,1255451597,2,84,179326388.44
534,1043224355,1,84,178841758.4
535,1184780629,4,83,178326930.63
536,1356357115,2,83,178229846.51000002
537,1245370717,1,84,178141487.40999997
538,1518032622,2,84,178125874.45
539,1295789907,2,84,177746600.15
540,1104997121,2,84,177637742.73
541,1710918545,2,84,177545212.29999998
542,1972655991,4,82,177402110.67000005
543,1558535013,2,83,177277886.73
544,1972662328,2,83,177008500.01999998
545,1215375985,2,84,176735544.75000003
546,1831220714,1,84,176675235.48999998
547,1033154026,1,84,176532494.56000003
548,1073535027,1,84,176327486.26999998
549,1629357629,1,84,176231607.72999996
550,1336234194,2,84,176202880.98
551,1972598449,4,84,175858802.32000002
552,1999999984,1,84,175814218.49
553,1881061695,2,73,175737981.78
554,1750358297,2,84,175720756.6
555,1255523494,2,83,175627726.54000002
556,1871540237,2,72,175320722.95
557,1639686793,3,79,174640204.14999998
558,1306938071,2,84,173979588.20999995
559,1104931625,1,84,173976280.82000002
560,1508124488,2,84,172944106.61
561,1427182286,1,84,172908169.69
562,1447275037,3,84,172795577.18
563,1427343219,2,84,172746561.79000002
564,1194020370,3,83,172726465.68
565,1922335843,1,84,172281254.98
566,1689778953,3,82,172173555.04999998
567,1295763217,2,84,172150510.32
568,1366594699,1,84,172062054.8
569,1700087590,1,84,172033330.29
570,1093789901,1,84,171568601.99
571,1851781314,3,84,171283719.16
572,1255314704,1,84,171132435.03000003
573,1063839322,3,82,171052910.98
574,1912021452,2,84,170956680.18999997
575,1932570595,2,84,170823209.44
576,1962587071,2,84,170808263.35
577,1104847946,1,84,170758161.82999998
578,1467538520,1,84,170747346.82000002
579,1396765681,1,84,170729548.7
580,1063833358,1,84,169732235.98999998
581,1386703304,2,84,169664870.28999996
582,1104024926,1,84,169641840.83
583,1205813540,3,84,169569445.56
584,1376623538,2,84,169300885.23
585,1205293321,2,84,169038811.83999997
586,1528144318,2,84,168981642.5
