,billing_npi,total_paid,consensus_category,consensus_mean_score,n_methods_flagging
87187,1265819866,993026.72,majority,0.8745221683133523,6
220289,1679996078,1460568.2800000003,majority,0.8702522497866408,6
204076,1629499751,2725387.7,majority,0.8683095466742672,5
303796,1942254347,6739111.03,majority,0.8675566151095622,7
81734,1255354130,87763706.8,majority,0.8670949776762218,7
109818,1336533041,54855335.410000004,majority,0.8669679540018429,7
78812,1245283530,16828625.71,majority,0.866486478608201,7
175645,1548251895,0.0,majority,0.866159253477311,7
205545,1639252604,4451903.15,majority,0.8656655311796057,7
27209,1083631071,69164328.27000001,majority,0.8651618899017495,6
142700,1447206420,39455446.629999995,majority,0.8651504527103511,6
300424,1932130952,88949592.53999999,majority,0.8650773761423021,6
36155,1114015971,36938901.620000005,majority,0.8646573376971448,7
110827,1346258100,37490665.94,majority,0.8644145251116189,6
292498,1902827272,48794009.65,majority,0.8639077461971844,7
108298,1336245828,114904455.03000002,majority,0.8638490420289456,7
142229,1437555265,64872100.730000004,majority,0.8637666537652449,6
269169,1831186766,19521781.709999997,majority,0.8637244474925627,7
192427,1598703647,124930174.34,majority,0.8636399337331154,6
27519,1083664221,13091863.54,majority,0.8635407439316085,7
320678,1992727663,66867435.74,majority,0.8635121003460712,7
233488,1720056187,12431346.629999999,majority,0.8635061287151641,7
421617,1609412683,1688124.3200000003,contested,0.8634935781688509,4
196361,1609824010,70786624.92,majority,0.8634648333692307,6
165342,1508968751,15527198.33,majority,0.8633508663115806,7
282211,1871607762,52585237.64,majority,0.8632945912813378,6
20051,1063439065,30717942.910000004,majority,0.8628931762274838,6
176476,1548349186,44607359.32,majority,0.8627168612946009,6
208938,1649377359,85334058.93,majority,0.8627124078749415,7
257239,1790762755,128544153.33999999,majority,0.8627058289595354,6
31263,1093768657,25716480.98,majority,0.8624956073087904,6
164036,1508813387,24192794.130000003,majority,0.8624150408985868,6
16874,1053344846,20134895.73,majority,0.8623888264510456,7
285199,1881642239,10897186.809999999,majority,0.8623483408177772,6
30594,1093263717,14994220.790000001,majority,0.8623069442577608,6
261523,1801929757,10888917.23,majority,0.8622061350309229,7
114338,1356390108,3604412.32,majority,0.8621369045980343,5
55845,1174520654,5080895.109999999,majority,0.8621162569250675,7
490814,1811215742,12498176.709999999,majority,0.8618284040725307,6
2519,1003887118,33129767.48,majority,0.8615937898277417,7
252677,1780076562,30829083.03,majority,0.861573749439274,6
175218,1548205909,60506533.53,majority,0.8615421706453248,6
138443,1427326768,9039475.920000002,majority,0.8615331625919227,7
142539,1437668985,3385513.37,majority,0.8615257739638512,6
75126,1235126921,40341149.16,majority,0.8614614018069547,6
404728,1326695255,107363531.16,majority,0.8614540131788834,7
86004,1265585806,46191340.97,majority,0.8613703091321013,6
234584,1720194053,80486205.19999999,majority,0.8612725363277587,6
177632,1548551997,57798068.63,majority,0.8612307349114093,6
255551,1780986257,27840284.23,majority,0.8612116054496902,7
142632,1437720414,23570531.39,majority,0.8611459175097125,7
117908,1366539421,92984395.39,majority,0.8611045209496957,6
172751,1538194980,5703256.83,majority,0.8607832674497128,7
90946,1285016758,160363652.12,majority,0.8607758788216414,6
238804,1730491945,643184712.3,majority,0.8607258790645551,6
142122,1437529245,16927523.71,majority,0.8606593814119121,6
41299,1124270715,7671897.49,majority,0.8606579644147478,7
116745,1356899777,7077346.300000001,majority,0.8605671753821439,7
46898,1144336181,91185937.49000001,majority,0.8605354953741116,6
119140,1366763260,8017207.590000002,majority,0.8604249695952895,7
207671,1649217514,34595190.0,majority,0.8603395449090935,6
136055,1417987124,10429113.79,majority,0.8602885330111756,6
305022,1942404223,12502364.549999999,majority,0.8602033107531462,6
76757,1235348343,33108843.14,majority,0.860141468948329,6
303020,1932574332,6606919.95,majority,0.8601042221657222,6
196408,1609827823,4653197.5200000005,majority,0.8600685948084462,6
44983,1134452865,179414627.5,majority,0.8600251739667663,6
243250,1750366118,5282842.499999999,contested,0.8599921781756525,4
17007,1053358846,26194234.650000002,majority,0.8599691013646898,7
49798,1154400232,22317678.53,majority,0.8599380286411564,6
208636,1649339581,64899358.169999994,majority,0.859932461866582,6
135780,1417953787,1433268.2100000002,majority,0.8599290205877543,7
65763,1205098340,25623090.52,majority,0.8598874215995712,6
291076,1902073620,24102153.04,majority,0.8598750734814243,7
82566,1255449963,25032788.71,majority,0.8598525027408774,6
88708,1275596280,69518281.02,majority,0.859827300434168,6
175781,1548266547,121188457.17,majority,0.85981778631035,6
4717,1013199264,46823423.28,majority,0.8597889402966463,7
26514,1083045090,47286309.07,majority,0.8597752763954183,6
261380,1801909239,48990971.870000005,majority,0.8597107018103556,6
58528,1174955256,21522505.88,majority,0.8596691028221725,6
246391,1760452767,2767083.9499999997,majority,0.8595863097021391,7
229798,1700990108,28275684.88,majority,0.8595654596010059,6
142697,1447206370,26069019.03,majority,0.8595458240688708,6
411696,1447355771,29438227.32,majority,0.8595336783788905,7
201664,1629075734,89429061.66,majority,0.8594701159346594,6
142938,1447233788,132156768.49,majority,0.8594691037938277,6
615845,1942970405,10363954.549999999,majority,0.8594377274280449,6
233261,1720031768,15074420.409999996,majority,0.8593917762342854,6
124348,1386682094,77355449.77,majority,0.8592516959431776,5
99962,1306910534,8979655.46,majority,0.8592413721066943,7
425501,1669914552,11366952.069999998,majority,0.8592194086506462,7
