,community,size,total_spending,median_spending,mean_claims,median_hcpcs,median_servicing,anomaly_rate
0,0,7954,283789972262.66,18155501.445,462718.3972843852,26.0,19.0,0.5137037968317828
22,22,4464,247693455390.04,21503643.045,532310.5577956989,6.0,1.0,0.13754480286738352
17,17,3894,172773653331.33,20419254.125,1213351.9483821264,145.0,31.0,0.6425269645608629
4,4,693,16561419561.85,13575388.93,482566.0490620491,34.0,17.0,0.5541125541125541
947,947,1,1073667311.3400002,1073667311.3400002,3312341.0,3.0,1.0,0.0
1515,1515,1,1037216238.4000001,1037216238.4000001,11206578.0,2.0,1.0,0.0
2709,2709,1,996801121.5400001,996801121.5400001,306131.0,2.0,1.0,1.0
19,19,55,977810350.85,16437033.489999998,19549.69090909091,4.0,1.0,0.09090909090909091
393,393,1,887501813.41,887501813.41,5599208.0,2.0,1.0,0.0
177,177,22,782011638.4300001,17110543.880000003,98742.68181818182,3.0,0.0,0.3181818181818182
404,404,1,780976224.27,780976224.27,910831.0,1.0,1.0,1.0
730,730,1,598860245.02,598860245.02,7464255.0,2.0,1.0,0.0
508,508,1,503987183.92,503987183.92,477988.0,1.0,4.0,1.0
253,253,1,490725902.51000005,490725902.51000005,225775.0,1.0,1.0,1.0
1363,1363,1,442602790.50999993,442602790.50999993,3279635.0,1.0,1.0,0.0
2225,2225,1,391512861.78000003,391512861.78000003,2677952.0,2.0,1.0,0.0
69,69,17,357162480.81,21357553.73,76347.5294117647,4.0,1.0,0.0
1650,1650,1,308393772.84999996,308393772.84999996,1727955.0,2.0,1.0,1.0
524,524,1,290808661.47,290808661.47,8662499.0,2.0,1.0,0.0
799,799,1,280807223.9,280807223.9,651482.0,2.0,1.0,0.0
84,84,11,244646863.6,21081075.950000003,266905.54545454547,4.0,1.0,0.0
115,115,3,225972485.9,56826731.400000006,8573.666666666666,3.0,1.0,1.0
781,781,1,224454101.99999997,224454101.99999997,493379.0,1.0,1.0,0.0
127,127,1,216984969.02,216984969.02,1154699.0,2.0,1.0,0.0
2100,2100,1,208022188.21,208022188.21,544933.0,2.0,1.0,0.0
801,801,1,206621411.67999998,206621411.67999998,438522.0,2.0,1.0,0.0
2348,2348,1,203245562.65000004,203245562.65000004,783292.0,2.0,1.0,0.0
1272,1272,1,199636917.53,199636917.53,733284.0,1.0,1.0,0.0
540,540,1,187336349.01,187336349.01,814826.0,1.0,1.0,0.0
2816,2816,1,177402110.67,177402110.67,124202.0,2.0,1.0,1.0
2446,2446,1,166586328.54000002,166586328.54000002,325120.0,1.0,1.0,0.0
2224,2224,1,165294407.09,165294407.09,1243868.0,2.0,1.0,0.0
980,980,2,160162818.92,80081409.46,56121.5,12.5,1.0,0.5
35,35,1,158587823.73000002,158587823.73000002,883496.0,2.0,1.0,1.0
417,417,1,157130280.27999997,157130280.27999997,710965.0,2.0,1.0,0.0
1105,1105,1,156872692.22,156872692.22,1009614.0,1.0,1.0,0.0
2682,2682,1,156067580.95999998,156067580.95999998,1145802.0,2.0,1.0,0.0
413,413,1,156043354.26,156043354.26,386429.0,2.0,2.0,0.0
576,576,1,154955729.35,154955729.35,1776447.0,2.0,1.0,0.0
2646,2646,1,154946648.04,154946648.04,569758.0,2.0,1.0,0.0
485,485,1,152980553.17000002,152980553.17000002,366343.0,2.0,1.0,0.0
1986,1986,1,146044054.46,146044054.46,2017158.0,1.0,1.0,0.0
2591,2591,1,145667460.8,145667460.8,966738.0,2.0,1.0,1.0
66,66,1,139780633.57999998,139780633.57999998,2208105.0,2.0,4.0,0.0
91,91,1,139415479.65,139415479.65,735131.0,2.0,1.0,0.0
63,63,1,138840949.2,138840949.2,798965.0,2.0,1.0,0.0
1197,1197,1,137718870.07,137718870.07,741467.0,2.0,1.0,1.0
1909,1909,1,135805884.39000002,135805884.39000002,823581.0,1.0,1.0,1.0
1069,1069,1,128198932.07999998,128198932.07999998,573328.0,2.0,1.0,0.0
2597,2597,1,127399061.93,127399061.93,993372.0,2.0,1.0,1.0
260,260,2,126663863.98999998,63331931.99499999,378835.5,3.0,1.0,0.0
1882,1882,1,126410419.21000001,126410419.21000001,1051441.0,2.0,1.0,0.0
2642,2642,1,123277284.82999998,123277284.82999998,1425505.0,1.0,1.0,0.0
1833,1833,1,119258562.15,119258562.15,366566.0,1.0,1.0,0.0
1276,1276,1,117865639.1,117865639.1,201190.0,1.0,1.0,1.0
1087,1087,1,117535649.91,117535649.91,2933603.0,1.0,1.0,0.0
706,706,1,117431258.72,117431258.72,97212.0,2.0,1.0,1.0
1260,1260,1,115081789.00999999,115081789.00999999,1251613.0,2.0,6.0,0.0
1357,1357,1,114543545.86,114543545.86,30346.0,2.0,1.0,1.0
304,304,1,114055354.09,114055354.09,708003.0,2.0,1.0,0.0
2227,2227,1,113293433.77000001,113293433.77000001,501020.0,2.0,1.0,0.0
1373,1373,1,113058982.00999999,113058982.00999999,706527.0,2.0,1.0,1.0
761,761,1,113057565.54,113057565.54,14772.0,2.0,1.0,1.0
1945,1945,1,110935971.04,110935971.04,792378.0,2.0,1.0,0.0
349,349,1,109155045.86,109155045.86,523657.0,2.0,1.0,0.0
715,715,1,108781789.17999999,108781789.17999999,795112.0,2.0,1.0,1.0
1794,1794,1,106522242.08,106522242.08,161882.0,2.0,1.0,1.0
582,582,1,105932339.46000001,105932339.46000001,1247194.0,2.0,1.0,0.0
389,389,1,105817139.34999998,105817139.34999998,523229.0,1.0,1.0,0.0
1922,1922,1,105147062.66,105147062.66,118929.0,1.0,1.0,0.0
1800,1800,1,103223239.74000001,103223239.74000001,475780.0,2.0,1.0,0.0
295,295,1,103048418.36,103048418.36,538300.0,2.0,1.0,0.0
1174,1174,1,102564264.69,102564264.69,114540.0,1.0,1.0,0.0
903,903,1,101668631.78999999,101668631.78999999,378279.0,2.0,1.0,1.0
2717,2717,1,101461061.06,101461061.06,731790.0,2.0,1.0,0.0
