,k,bic,aic,log_likelihood,converged
0,2,-2355677.561492402,-2357162.2420283584,1178712.1210141792,True
1,3,-6436495.492484283,-6438728.18000782,3219561.09000391,True
2,4,-9994973.927760255,-9997954.622271372,4999240.311135686,True
3,5,-10282811.230679285,-10286539.932177983,5143598.966088992,True
4,6,-11235119.935484843,-11239596.643971123,5620193.321985561,True
5,7,-11535821.08145441,-11541045.79692827,5770983.898464135,True
6,8,-13993547.425995884,-13999520.148457326,7000287.074228663,True
7,9,-14482572.942128392,-14489293.671577414,7245239.835788707,True
8,10,-14748665.360853888,-14756134.097290492,7378726.048645246,True
9,11,-15292050.387561351,-15300267.130985536,7650858.565492768,True
10,12,-15380910.922316825,-15389875.67272859,7695728.836364295,True
11,13,-15170188.862387238,-15179901.619786585,7590807.809893292,True
12,14,-15272841.164155293,-15283301.928542221,7642573.9642711105,True
13,15,-16186706.224710958,-16197914.996085467,8099946.498042733,True
