,billing_npi,risk_probability,risk_tier,isolation_forest_score,lof_score,statistical_outlier_score,fraud_flags_count,ae_reconstruction_error,svd_knn_anomaly,nmf_knn_anomaly,hdbscan_noise,hdbscan_low_prob,total_paid,total_claims,total_beneficiaries
90292,1275849283,0.9990043812075647,5,-0.09059741235226926,-1.1153026396378494,10,3,17.049341,0.07188223,0.0059511187,0,0,462989708.40999997,1868258,905720
120493,1376546291,0.9990043812075624,5,-0.054602819450340956,-1.024782810335921,9,3,26.307785,0.05929453,0.0034686862,1,1,65973049.54,408819,106334
133637,1417099789,0.9990043812075624,5,-0.07943507879368006,-1.0505811953713116,10,3,18.24013,0.053200327,0.0050101103,0,0,1344222550.12,6184815,1302440
319468,1992012306,0.99900438120756,5,-0.01810007717892137,-1.368089578494155,10,3,2.5502014,0.14392658,0.062524885,0,0,93968811.49000001,272792,189253
111397,1346321643,0.9990043812075593,5,-0.003030273321909638,-1.040814534513323,8,3,6.1006026,0.10543345,0.026414018,0,0,88036914.55000001,763636,181408
73661,1225255375,0.9990043812075584,5,-0.06253357837360474,-1.0873724033212944,8,3,12.71156,0.086895764,0.00217759,0,0,642451488.1400001,5455305,1082521
143194,1447261540,0.999004381207558,5,-0.0981075707982948,-1.0225964260307845,9,3,60.62266,0.05351014,0.0020003854,0,0,1398902370.04,8714521,2328336
266836,1821201278,0.9990043812075576,5,-0.09681603599365152,-0.9920730000891147,10,3,52.717052,0.13963483,0.053209968,1,1,107479690.24000001,280266,238293
298128,1922138841,0.9990043812075576,5,-0.015104889489506168,-1.3227428273574517,10,3,3.8460906,0.09465627,0.034884214,0,0,84600598.2,221354,172405
90909,1285006379,0.9990043812075573,5,-0.06064945333106253,-1.024356109737332,10,3,13.583763,0.07899815,0.0037039816,0,0,93792245.18,277198,194160
322670,1999999984,0.9990043812075573,5,-0.06255310532137826,-1.0304442877147606,8,4,9.441119,0.39748862,0.31157294,0,1,175814218.49,7882006,994268
224654,1699703827,0.9990043812075571,5,-0.1221680432194473,-1.0261678525812077,10,3,605.3024,0.1144612,0.04296357,1,1,6778483867.35,30870976,10549232
253334,1780639971,0.9990043812075571,5,-0.09298554271331094,-0.9999290266019166,10,3,43.635914,0.16396101,0.10697116,0,1,190581941.35,430719,329086
