,date,forecast,ci_lower,ci_upper
0,2025-01-01,3500906824.472886,879310896.3742995,6122502752.571472
1,2025-02-01,3815294604.0439363,-525944297.236032,8156533505.323904
2,2025-03-01,4123203313.212469,-1177832838.243988,9424239464.668926
3,2025-04-01,3942633597.59024,-2275685392.174196,10160952587.354675
4,2025-05-01,4158222485.024852,-2810928929.164283,11127373899.213985
5,2025-06-01,2721045730.0863085,-4947035026.690877,10389126486.863495
6,2025-07-01,3080976666.9769773,-5217532085.072713,11379485419.026669
7,2025-08-01,3451344770.353611,-5437577158.919065,12340266699.626287
8,2025-09-01,2726601175.6848264,-6713724247.581497,12166926598.951149
9,2025-10-01,3469557580.667822,-6492717439.437325,13431832600.772968
10,2025-11-01,846774149.3018873,-9610947659.148535,11304495957.75231
11,2025-12-01,-5442989707.735693,-16373956312.288345,5487976896.816959
