,billing_npi,total_paid,total_claims,total_beneficiaries,row_count,paid_per_claim,paid_per_beneficiary,tda_anomaly_score
117410,1366479099,668499553.82,111637602,108161020,196363,5.988121760444121,6.18059587289395,204.02961838053676
20555,1063497451,717466640.82,109455732,101685925,78151,6.554856723446882,7.055712389103999,193.3548664217288
172325,1538144910,1436181704.91,103910314,92077561,73225,13.821358531454347,15.597521147524748,158.54959679438943
134515,1417262056,7177816544.46,89773441,5596134,1872,79.95478912811195,1282.6384329717623,141.83550777728755
224654,1699703827,6778483867.35,30870976,10549232,140183,219.57465378969556,642.5570949003682,89.31929807796291
121057,1376609297,5571605313.000001,63523750,3345513,467,87.70901140124758,1665.3964019867808,81.21123580535212
211183,1659352276,147141937.29000002,64360026,62444305,98541,2.286231787569508,2.356370805792458,71.3713578548512
43997,1134277494,620067105.6600001,60790152,58982116,41582,10.200124284275521,10.512798585591607,69.45206193889061
388990,1073569034,27683158.03,333,277,19,83132.6066966967,99939.19866425994,67.81298416569774
300549,1932145778,637741416.6400001,57184397,54552026,72072,11.15236760545014,11.690517537148851,62.20034424422247
224861,1699725143,3093063112.9,107716418,16440856,37272,28.714871607594677,188.13272939681488,60.053033115578195
188710,1588158943,-8689.72,63,32,2,-137.9320634920635,-271.55375,54.46953160603104
334068,1164415832,-83.77000000000001,45,41,3,-1.8615555555555559,-2.0431707317073173,54.46889593559459
217502,1679525919,863549395.76,16016267,12948304,383449,53.91702047424659,66.69208536963605,47.026273887217585
300883,1932184322,617017961.77,53462000,47979402,41447,11.541243533163742,12.860059443216903,45.75720629957485
373534,1821066580,11093.4,12,12,1,924.4499999999999,924.4499999999999,44.514440274286734
350950,1447391941,11093.4,12,12,1,924.4499999999999,924.4499999999999,44.514440274286734
608753,1730747999,11093.4,12,12,1,924.4499999999999,924.4499999999999,44.514440274286734
26847,1083142038,12017.85,13,13,1,924.45,924.45,44.51411136003732
527823,1639797624,12017.85,13,13,1,924.45,924.45,44.51411136003732
334818,1174548150,28900.0,34,34,2,850.0,850.0,42.6867486930167
138138,1427260165,28900.0,34,34,2,850.0,850.0,42.6867486930167
599843,1467587477,12000.0,12,12,1,1000.0,1000.0,39.908383514046676
517544,1386805588,12000.0,12,12,1,1000.0,1000.0,39.908383514046676
612823,1851826382,12000.0,12,12,1,1000.0,1000.0,39.908383514046676
536247,1841254844,0.0,166,12,1,0.0,0.0,37.19197048355934
516883,1376197079,0.0,166,12,1,0.0,0.0,37.19197048355934
571889,1700495496,0.0,145,12,1,0.0,0.0,36.86266748257507
614966,1922445105,0.0,145,12,1,0.0,0.0,36.86266748257507
62489,1194118711,0.0,146,12,1,0.0,0.0,35.360086744973394
559804,1417216599,0.0,146,12,1,0.0,0.0,35.360086744973394
155958,1487049987,0.0,131,12,1,0.0,0.0,32.905618101051225
551168,1194763219,0.0,131,12,1,0.0,0.0,32.905618101051225
307012,1952347791,209742563.95,45938450,41319964,25148,4.565730100819684,5.076058729141196,30.121503101782636
498808,1952915910,716795.12,288957,581,28,2.480629020926989,1233.7265404475042,29.60391405596548
297806,1922092451,0.0,98,12,1,0.0,0.0,28.854499637977035
394645,1164620084,0.0,98,12,1,0.0,0.0,28.854499637977035
104174,1326035130,0.0,98,12,1,0.0,0.0,28.854499637977035
490477,1801448725,0.0,125,12,1,0.0,0.0,28.603912900732265
345451,1346899341,0.0,125,12,1,0.0,0.0,28.603912900732265
204634,1639138480,201288692.2,19123619,18037418,341746,10.525658987454204,11.15950698708651,27.459293232467974
299824,1922467554,3025874966.6899996,21977069,1186413,207,137.68328100030078,2550.439827184968,27.144957957374714
466105,1366438657,0.0,118,12,1,0.0,0.0,26.716313869683056
525872,1598097347,0.0,118,12,1,0.0,0.0,26.716313869683056
231001,1710176151,2683634591.67,35557539,2441087,3842,75.47301267587726,1099.3604864021643,26.490300657454316
31795,1093834020,910633453.06,51017667,4556652,1062,17.849374669759005,199.84704846014134,25.27441338899279
553457,1255443016,0.0,104,12,1,0.0,0.0,24.556236208362712
339374,1245736008,0.0,104,12,1,0.0,0.0,24.556236208362712
585896,1043597008,0.0,115,12,1,0.0,0.0,23.912753338614685
599681,1467140228,0.0,115,12,1,0.0,0.0,23.912753338614685
