,billing_npi,total_paid,total_claims,paid_per_claim,n_unique_hcpcs,n_servicing_npis,n_years_active,composite_anomaly_score,anomaly_rank,fraud_flags_count,isolation_forest_label,flag_code_stuffing,flag_high_cost_per_claim,flag_many_servicing,flag_extreme_spending,flag_spending_spike
220041,1679933329,2.3,14,0.16428571428571428,1,0,1,2317903949.6324286,1.0,0,1,False,False,False,False,False
294409,1912082561,2.21,17,0.13,1,0,1,2081738649.102985,2.0,0,1,False,False,False,False,False
521658,1487794921,2.22,19,0.1168421052631579,1,0,1,2052920673.8801079,3.0,0,1,False,False,False,False,False
439056,1881941540,0.45000000000000007,45,0.010000000000000002,1,1,3,560841414.2866238,4.0,0,1,False,False,False,False,False
358767,1578642450,0.28,48,0.005833333333333334,2,1,1,543260117.3710223,5.0,0,1,False,False,False,False,False
358037,1568510899,0.26,87,0.002988505747126437,2,1,2,521898632.74148417,6.0,0,1,False,False,False,False,False
481516,1649567462,0.39,32,0.0121875,1,1,1,475165779.2882964,7.0,0,1,False,False,False,False,False
180968,1558660217,0.3,21,0.014285714285714285,1,1,1,451561803.083928,8.0,0,1,False,False,False,False,False
558179,1376057612,0.68,35,0.01942857142857143,2,1,1,435756980.62789834,9.0,0,1,False,False,False,False,False
55355,1164948279,0.24,45,0.005333333333333333,1,1,1,412524207.3937916,10.0,0,1,False,False,False,False,False
127104,1396173522,0.28,48,0.005833333333333334,1,1,2,397711584.69947094,11.0,0,1,False,False,False,False,False
372705,1801818083,0.27,27,0.01,1,1,2,381548623.13754696,12.0,0,1,False,False,False,False,False
570277,1669849550,0.26,51,0.005098039215686275,1,1,1,376009340.12818754,13.0,0,1,False,False,False,False,False
493635,1861470049,0.26,28,0.009285714285714286,1,1,1,373496571.8256638,14.0,0,1,False,False,False,False,False
600922,1497916977,0.30000000000000004,30,0.010000000000000002,1,1,1,359401589.1321462,15.0,0,1,False,False,False,False,False
491887,1831206903,0.17,32,0.0053125,2,1,1,322014612.37551063,16.0,0,1,False,False,False,False,False
518259,1407494180,0.2,19,0.010526315789473684,1,1,1,307314113.03270674,17.0,0,1,False,False,False,False,False
398085,1225045651,0.25,19,0.013157894736842105,1,1,1,305454866.5908518,18.0,0,1,False,False,False,False,False
188518,1588076582,0.15,41,0.0036585365853658534,2,1,2,285745448.2678601,19.0,0,1,False,False,False,False,False
233426,1720049026,0.13,29,0.004482758620689655,2,1,1,259886597.95610234,20.0,0,1,False,False,False,False,False
526273,1609094804,0.12000000000000001,25,0.0048000000000000004,1,1,1,254260819.2464478,21.0,0,1,False,False,False,False,False
446665,1013063619,0.12,37,0.003243243243243243,2,1,1,247851656.3086554,22.0,0,1,False,False,False,False,False
10756,1033191978,0.13,27,0.004814814814814815,1,1,2,246491138.234967,23.0,0,1,False,False,False,False,False
307595,1952414864,0.11000000000000001,43,0.002558139534883721,1,1,2,243870188.74128425,24.0,0,1,False,False,False,False,False
612513,1841925633,0.11,30,0.0036666666666666666,2,1,1,227712360.14245185,25.0,0,1,False,False,False,False,False
87426,1265879316,0.12,12,0.01,1,1,1,216331930.55228728,26.0,0,1,False,False,False,False,False
484263,1699336552,0.1,53,0.0018867924528301887,1,1,1,211332751.64439613,27.0,0,1,False,False,False,False,False
