,billing_npi,total_paid,total_claims,paid_per_claim,n_unique_hcpcs,n_servicing_npis,n_years_active,fraud_flags_count,flag_code_stuffing,flag_high_cost_per_claim,flag_many_servicing,flag_extreme_spending,flag_spending_spike
218046,1679587679,217677572.20999998,4737613,45.94667656687027,765,277,7,5,True,False,True,True,True
147489,1457478703,107526149.83999999,1896047,56.71069854281038,83,253,7,5,True,False,True,True,True
238638,1730454083,88449950.4,1118511,79.07830177798878,264,97,7,5,True,False,True,True,True
256946,1790730281,64532455.81,529397,121.89803835306962,109,122,7,5,True,False,True,True,True
288800,1891731626,49988921.20999999,11118874,4.4958618300738005,495,22,7,5,True,False,True,True,True
306114,1942623319,49076880.97,899646,54.551324598786636,58,387,7,5,True,False,True,True,True
217496,1679524961,406511580.9599999,4851928,83.78351471002865,217,389,7,4,True,False,True,True,True
91825,1285641514,370910465.95,4006664,92.57338922105771,745,107,7,4,True,False,True,True,True
262510,1811062763,317626963.91,10112770,31.408502705984613,656,2115,7,4,True,False,True,True,True
199718,1619341716,303176085.0,4406436,68.80301563440386,535,451,7,4,True,False,True,True,True
289361,1891799227,299002604.18,3175044,94.17274348953904,826,11,7,4,True,False,True,True,True
377979,1891765178,286651231.61,1086550,263.81780093875113,238,437,6,4,True,False,True,True,True
300198,1932103413,278959195.28999996,5011660,55.662035191932404,933,279,7,4,True,False,True,True,True
57186,1174689665,278662434.15,4403111,63.28762417072837,757,184,7,4,True,False,True,True,True
153949,1477643690,277277789.69,1753239,158.15173498307988,400,1594,7,4,True,False,True,True,True
239981,1740262880,265904923.85,31036545,8.567478237348906,598,35,7,4,True,False,True,True,False
63379,1194743013,263765032.90000004,1364671,193.2810420240483,387,729,7,4,True,False,True,True,True
31352,1093777492,260808086.0,3389055,76.95599097683572,767,134,7,4,True,False,True,True,True
262009,1801992631,238686702.33,4685853,50.93772731026774,848,42,7,4,True,False,True,True,True
117721,1366515488,221155052.54999998,1044499,211.73313957217766,264,908,7,4,True,False,True,True,True
306884,1952332801,207366640.09,3132313,66.20240061896752,745,78,7,4,True,False,True,True,True
204634,1639138480,201288692.2,19123619,10.525658987454204,192,791,7,4,True,False,True,True,True
144057,1447359997,197865657.18,4103101,48.22344299591943,886,756,7,4,True,False,True,True,True
167917,1518903350,197582867.08999997,24341922,8.11697889303893,599,24,7,4,True,False,True,True,True
35893,1104982917,190494081.73,2823800,67.46018901126142,676,134,7,4,True,False,True,True,True
342596,1306182548,188981224.14999998,105104,1798.040266307657,60,1,6,4,True,True,False,True,True
24039,1073599478,186689145.0,17061269,10.94227779891402,449,22,7,4,True,False,True,True,False
185686,1578554630,179830984.53,3290130,54.65771399002471,768,71,7,4,True,False,True,True,True
13398,1043224355,178841758.4,3786979,47.22544233807476,728,426,7,4,True,False,True,True,True
79459,1245370717,178141487.41,3580920,49.74740776392659,518,178,7,4,True,False,True,True,True
23464,1073535027,176327486.26999998,3438615,51.27863580831235,713,467,7,4,True,False,True,True,True
322670,1999999984,175814218.49,7882006,22.30577069974319,213,64,7,4,True,False,True,True,True
284484,1881061695,175737981.78,4732853,37.13151069344431,106,170,7,4,True,False,True,True,True
281608,1871540237,175320722.95000002,1625065,107.88536024712859,428,151,6,4,True,False,True,True,True
118309,1366594699,172062054.79999998,2853265,60.30356619521845,395,330,7,4,True,False,True,True,True
81418,1255314704,171132435.03,37608686,4.550343370943617,582,21,7,4,True,False,True,True,True
176650,1548367873,163588496.89000002,2901521,56.380256041572686,622,147,7,4,True,False,True,True,True
168725,1518998699,163202795.35999998,2757807,59.178468747087805,661,139,7,4,True,False,True,True,True
279910,1861675506,160810791.04000002,2513595,63.976412683825366,343,1897,7,4,True,False,True,True,True
51925,1154786846,160418317.36,931794,172.1607108008852,65,190,7,4,True,False,True,True,True
90946,1285016758,160363652.12,8433773,19.014461513251543,187,465,7,4,True,False,True,True,True
136713,1427063270,160323580.5,3954456,40.54251216855112,709,273,7,4,True,False,True,True,True
14835,1043397292,156831349.45,2733531,57.37317390949654,805,536,7,4,True,False,True,True,True
137138,1427114099,152824919.16,1429913,106.87707515072596,540,196,7,4,True,False,True,True,True
300361,1932123247,152600082.81,3288824,46.3995892787209,610,502,7,4,True,False,True,True,True
143374,1447281936,152448324.41,7054107,21.611286079159274,421,914,7,4,True,False,True,True,False
61401,1184878274,152079113.4,1780252,85.42561019451179,319,106,7,4,True,False,True,True,False
175395,1548226988,150326465.88,2827894,53.15845144124921,429,677,7,4,True,False,True,True,True
309141,1952690463,148046905.35000002,2296231,64.47387277238224,155,35,7,4,True,False,True,True,True
211183,1659352276,147141937.29000002,64360026,2.286231787569508,647,87,7,4,True,False,True,True,False
19953,1063426377,146568057.87999997,3455689,42.41355569902267,610,278,7,4,True,False,True,True,True
40389,1124127683,140711421.67000002,794957,177.0050728152592,390,204,7,4,True,False,True,True,True
240929,1740389154,138853988.63,1319760,105.21154500060616,310,51,7,4,True,False,True,True,True
45844,1144211301,138190848.48,2386757,57.899002068497126,416,1169,7,4,True,False,True,True,False
31628,1093810889,136186368.15,3105548,43.852604483975135,63,80,7,4,True,False,True,True,True
417789,1548286172,133069160.27000001,973270,136.72378709916057,241,316,5,4,True,False,True,True,True
13779,1043267727,132148572.88,2081354,63.49163711699211,542,201,7,4,True,False,True,True,True
423322,1639299274,128748229.49000002,1006645,127.8983449875577,47,1,5,4,True,False,False,True,True
257239,1790762755,128544153.33999999,1435302,89.55895925735489,138,252,7,4,True,False,True,True,False
265348,1821007881,125540870.57,1693653,74.12431623833217,579,277,7,4,True,False,True,True,True
260415,1801803903,125540831.24000001,3041842,41.27131890479519,587,395,7,4,True,False,True,True,True
370725,1770573586,124608403.57000001,1281299,97.25162009023656,212,178,6,4,True,False,True,True,True
272245,1841271459,124089508.13,2888713,42.956675907229275,830,609,7,4,True,False,True,True,False
252983,1780600577,121764268.18,1853705,65.68697186445524,545,90,7,4,True,False,True,True,True
175781,1548266547,121188457.17,957565,126.55898781805935,159,300,7,4,True,False,True,True,True
111831,1346380870,121161827.41,1973229,61.40282116774079,535,97,7,4,True,False,True,True,True
193465,1598829350,119487798.5,2200577,54.29839469375532,270,203,7,4,True,False,True,True,True
149867,1467469023,119272067.15999998,2827758,42.17902209453567,624,393,7,4,True,False,True,True,True
10518,1033165527,118629083.58,679341,174.62376564935724,46,141,7,4,True,False,True,True,True
131964,1407877137,118123420.48,2168722,54.466833683616436,570,118,7,4,True,False,True,True,True
440768,1912510041,117964205.63,1080659,109.15950880897674,41,817,5,4,True,False,True,True,True
