,billing_npi,total_paid,total_claims,total_beneficiaries,row_count,paid_per_claim,paid_per_beneficiary,vae_anomaly_score,vae_recon_error,vae_kl_divergence
117410,1366479099,668499553.82,111637602,108161020,196363,5.988121760444121,6.18059587289395,683.78076,48310.41,32629.264
20555,1063497451,717466640.82,109455732,101685925,78151,6.554856723446882,7.055712389103999,667.63165,49022.78,29763.146
172325,1538144910,1436181704.91,103910314,92077561,73225,13.821358531454347,15.597521147524748,532.5099,36442.836,26744.955
134515,1417262056,7177816544.46,89773441,5596134,1872,79.95478912811195,1282.6384329717623,470.40012,10190.2705,48502.34
224861,1699725143,3093063112.9,107716418,16440856,37272,28.714871607594677,188.13272939681488,344.12543,24498.777,16211.364
224654,1699703827,6778483867.35,30870976,10549232,140183,219.57465378969556,642.5570949003682,295.6615,7015.2275,29795.207
121057,1376609297,5571605313.000001,63523750,3345513,467,87.70901140124758,1665.3964019867808,267.32446,5027.413,28426.883
211183,1659352276,147141937.29000002,64360026,62444305,98541,2.286231787569508,2.356370805792458,236.10953,16991.586,10916.382
43997,1134277494,620067105.6600001,60790152,58982116,41582,10.200124284275521,10.512798585591607,210.0517,14890.4,9967.072
188710,1588158943,-8689.72,63,32,2,-137.9320634920635,-271.55375,174.75359,278.60107,21983.932
334068,1164415832,-83.77000000000001,45,41,3,-1.8615555555555559,-2.0431707317073173,174.6417,269.6093,21979.82
300549,1932145778,637741416.6400001,57184397,54552026,72072,11.15236760545014,11.690517537148851,170.08469,11235.506,8999.639
300883,1932184322,617017961.77,53462000,47979402,41447,11.541243533163742,12.860059443216903,143.1398,9731.072,7262.415
388990,1073569034,27683158.03,333,277,19,83132.6066966967,99939.19866425994,138.4972,1857.3474,15572.512
307012,1952347791,209742563.95,45938450,41319964,25148,4.565730100819684,5.076058729141196,116.020706,8568.646,5116.2686
424863,1659867760,-11884.609999999999,196,123,8,-60.635765306122444,-96.62284552845527,98.948845,149.87997,12456.623
217502,1679525919,863549395.76,16016267,12948304,383449,53.91702047424659,66.69208536963605,96.859344,1141.923,11068.335
204634,1639138480,201288692.2,19123619,18037418,341746,10.525658987454204,11.15950698708651,89.62928,6293.9775,4320.542
31795,1093834020,910633453.06,51017667,4556652,1062,17.849374669759005,199.84704846014134,82.80179,7102.172,2535.5466
220470,1689039448,-10413.349999999997,304,124,9,-34.254440789473676,-83.97862903225804,78.33207,115.31331,9864.961
81418,1255314704,171132435.03,37608686,33588854,38896,4.550343370943617,5.094917350559206,71.40312,4917.939,3550.6758
